Failed banks,Date closed,Estimated cost to DIF ($ millions)
"Security Bank of Gwinnett County, Suwanee, GA",7/24/2009,807
"Temecula Valley Bank, Temecula, CA",7/17/2009,391
"Vineyard Bank, Rancho Cucamonga, CA",7/17/2009,579
"First Piedmont Bank, Winder, GA",7/17/2009,29
"BankFirst, Sioux Falls, SD",7/17/2009,91
"Bank of Wyoming, Thermopolis, WY",7/10/2009,27
"John Warner Bank, Clinton, IL",7/2/2009,10
"First State Bank of Winchester, Winchester, IL",7/2/2009,6
"Elizabeth State Bank, Elizabeth, IL",7/2/2009,11.2
"First National Bank of Danville, Danville, IL",7/2/2009,24
"Rock River Bank, Oregon, IL",7/2/2009,27.6
"Millennium State Bank of Texas, Dallas, TX",7/2/2009,47
"Founders Bank, Worth, IL",7/2/2009,188.5
"Mirae Bank, Los Angeles, CA",6/26/2009,50
"MetroPacific Bank, Irvine, CA",6/26/2009,29
"Horizon Bank, Pine City, MN",6/26/2009,33.5
"Neighborhood Community Bank, Newnan, GA",6/26/2009,66.7
"Community Bank of West Georgia, Villa Rica, GA",6/26/2009,85
"First National Bank of Anthony, Anthony, KS",6/19/2009,32.2
"Cooperative Bank, Wilmington, NC",6/19/2009,217
"Southern Community Bank, Fayetteville, GA",6/19/2009,114
"Bank of Lincolnwood, Lincolnwood, IL",6/5/2009,83
"Citizens National Bank, Macomb, IL",5/22/2009,106
"Strategic Capital Bank, Champaign, IL",5/22/2009,173
"BankUnited, Coral Gables, FL",5/21/2009,"4,900"
"Westsound Bank, Bremerton, WA",5/8/2009,108
"America West Bank, Layton, UT",5/1/2009,119.4
"Citizens Community Bank, Ridgewood, NJ",5/1/2009,18.1
"Silverton Bank, Atlanta, GA",5/1/2009,"1,003"
"First Bank of Idaho, Ketchum, ID",4/24/2009,191.2
"First Bank of Beverly Hills, CA",4/24/2009,394
"Michigan Heritage Bank, Farmington Hills, MI",4/24/2009,71.3
"American Southern Bank, Kennesaw, GA",4/24/2009,41.9
"Great Basin Bank, Elko, NV",4/17/2009,42
"American Sterling Bank, Sugar Creek, MO",4/17/2009,42
"New Frontier Bank, Greeley, CO",4/10/2009,670
"Cape Fear Bank, Wilmington, NC",4/10/2009,131
"Omni National Bank, Atlanta, GA",3/27/2009,290
"FirstCity Bank, Stockbridge, GA",3/20/2009,100
"Colorado National Bank, Colorado Springs, CO",3/20/2009,9
"Teambank, N.A., Paola, KS",3/20/2009,98
"Freedom Bank of Georgia, Commerce, GA",3/6/2009,36.2
"Security Savings Bank, Henderson, NV",2/27/2009,59.1
"Heritage Community Bank, Glenwood, IL",2/27/2009,41.6
"Silver Falls Bank, Silverton, OR",2/20/2009,50
"Pinnacle Bank, Beaverton, OR",2/13/2009,12.1
"Corn Belt Bank & Trust, Pittsfield, IL",2/13/2009,100
"Riverside Bank of the Gulf Coast, Cape Coral, FL",2/13/2009,201.5
"Sherman County Bank, Loup City, NE",2/13/2009,28
"County Bank, Merced, CA",2/6/2009,135
"Alliance Bank, Culver City, CA",2/6/2009,206
"FirstBank Financial Services, McDonough, GA",2/6/2009,111
"Ocala NB, Ocala, FL",1/30/2009,99.6
"Suburban FSB, Crofton, MD",1/30/2009,126
"Magnet Bank, Salt Lake City, UT",1/30/2009,119.4
"1st Centennial Bank, Redlands, CA",1/23/2009,227
"Bank of Clark County, Vancouver, WA",1/16/2009,120 – 145
"National Bank of Commerce, Berkely, IL",1/16/2009,97.1
